Municipality,Number_of_vegetation_plots,Vegetation_area_KM2,Municipality_area_KM2,Vegetation_cover_%,HDIM_2010,Child_mortality_2017,GDP_cap_2018,Sawage_2010_%,S_Species_richness,PD_Phylogenetic__richness,FD_Functional_richness,Temporary_crop_revenue,Permanent_crop_revenue,Predicted_S,Future_S,Predicted_FD,Future_FD,Predicted_PD,Future_PD,Prediceted_Permanent_crop_revenue,Future_Permanent_crop_revenue,Predicted_Temporary_crop_revenue,Future_Temporary_crop_revenue
Papanduva,5,332.4286863,764.737,43.46967471,704,19.84,31184.55,67.2,39.2,2816.12806,0.06519993448,4.057308821,9.37957286,39.06459611,40.5225955,0.07911378276,0.07940974686,2939.629063,2971.276703,7.018638064,7.035437559,4.514080217,4.590370763
Paraíso,1,49.59141934,180.338,27.49915123,700,34.48,28734.76,11,19,1912.6292,0.09248909593,2.678342343,6.543276994,31.76795474,34.18566909,0.08097510604,0.08037769486,2287.004008,2314.825954,10.84885664,11.09306277,2.726090658,2.664033171
Passos Maia,3,262.6691256,617.092,42.56563456,659,18.52,33066.57,50.2,26.33333333,2276.2491,0.04385749741,2.399401237,2.714331355,25.21711301,26.70990891,0.05827149701,0.0587545552,2100.809474,2259.243891,4.083157843,3.642140656,2.135006048,2.155510042
Paulo Lopes,2,353.2653637,446.165,79.17818827,716,8.2,25654.38,33.8,71.5,4438.024,0.06155484475,3.547268595,11.33770791,65.56262694,59.27568285,0.09241578486,0.09601751492,4216.704475,4074.140902,13.25642089,13.72787097,5.099030723,5.299313662
Peritiba,2,49.24732892,96.168,51.20968401,766,23.4,30218.7,70.3,45.5,3235.63535,0.1058527241,2.266708088,4.393970458,38.32297311,38.28382652,0.09952408424,0.08975779714,2827.159016,2694.459797,3.263859744,2.754951293,2.229320479,2.209332076
Pescaria Brava,1,12.62481322,106.853,11.81512285,752,11.24,10010.84,68.3,85,4892.4533,0.1067278688,4.653418851,0,73.14255096,66.39314951,0.1033125684,0.09982632967,4259.212606,4248.82413,0,0,4.919647068,5.012177974
Petrolândia,2,174.5945949,306.76,56.9156979,716,15.87,29089.34,45.7,44,2933.38975,0.08066754066,7.132866108,12.17831883,45.06850156,54.07816298,0.06801993837,0.07631759487,2791.671116,3234.936893,8.999761219,9.263013379,8.297775975,8.482388675
Piratuba,1,43.20108147,146.088,29.57195763,758,18.18,155119.78,49.8,30,2740.0316,0.09249984869,2.351369882,5.810392307,29.77395514,30.51482672,0.09270792298,0.0848557672,2567.382139,2486.041276,5.909896739,5.224512397,2.471372092,2.440286468
Ponte Alta,2,266.7855992,575.17,46.38378205,673,52.63,24218.32,40.5,44.5,2919.1062,0.06409952734,2.759550078,13.08333333,42.90012663,35.62851295,0.06480278034,0.05196138872,2850.088542,2586.808247,15.24178325,15.95566649,2.320639962,2.100102072
Ponte Serrada,2,275.955477,560.731,49.21352253,693,5.81,19642.03,40.7,42.5,3290.85495,0.09211729655,2.478779304,4.391940132,39.25620783,39.31177209,0.07305564935,0.07266484777,2620.171182,2499.627074,3.859469908,3.528609192,2.194656273,2.207123706
